gene_id	gene_short_name	cluster	Cartilage_GO:0051216	HH_GO:0007224	WNT_GO:0016055	BMP_GO:0030509	TGFb_GO:0007179	FGFR_GO:0008543	panel	highlight
ENSMUSG00000025911	Adhfe1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000099032	Tcf24	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000016918	Sulf1	B	yes	no	no	no	no	no	cartilage main	yes
ENSMUSG00000026156	B3gat2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000026109	Tmeff2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000045954	Cavin2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000062939	Stat4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026100	Mstn	B	no	no	no	no	yes	no	NA	NA
ENSMUSG00000025980	Hspd1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000064294	Aox3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026018	Ica1l	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000045005	Fzd5	B	no	no	yes	no	no	no	NA	NA
ENSMUSG00000055567	Unc80	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000061816	Myl1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000073650	Catip	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000004872	Pax3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000036766	Dner	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026227	2810459M11Rik	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000026251	Chrnd	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026253	Chrng	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034486	Gbx2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000007805	Twist2	A	no	no	no	no	no	no	Bmp main	yes
ENSMUSG00000014602	Kif1a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026278	Bok	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000047496	Rnf152	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000047216	Cdh19	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000004552	Ctse	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000052688	Rab7b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000118219	Gm29695	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000070644	Etnk2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000041577	Prelp	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000041559	Fmod	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042451	Mybph	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042429	Adora1	B	no	no	no	no	no	no	NA	NA
