category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0016055	1.73891342968261e-10	1	17	203	Wnt signaling pathway	BP
GO:0030178	4.84522303281273e-08	0.999999997718627	8	46	negative regulation of Wnt signaling pathway	BP
GO:0060363	6.66820166704125e-08	0.999999999856831	4	5	cranial suture morphogenesis	BP
GO:0001942	5.43755719721755e-07	0.99999997269837	7	42	hair follicle development	BP
GO:0007275	7.32180323112473e-07	0.999999766367393	31	1040	multicellular organism development	BP
GO:0016126	7.85644973991859e-07	0.999999970884612	6	31	sterol biosynthetic process	BP
GO:0006695	1.2037892693333e-06	0.999999951530095	6	33	cholesterol biosynthetic process	BP
GO:0042476	1.32581763197493e-06	0.999999945932616	6	32	odontogenesis	BP
GO:0035116	1.74751196080017e-06	0.999999924899956	6	33	embryonic hindlimb morphogenesis	BP
GO:0090090	1.31059772206882e-05	0.999998339024031	9	124	negative regulation of canonical Wnt signaling pathway	BP
GO:0045165	1.34039476762161e-05	0.999998851243122	7	69	cell fate commitment	BP
GO:0060349	1.68269842944651e-05	0.999999249851616	5	30	bone morphogenesis	BP
GO:0010463	1.68962579752383e-05	0.999999898848066	3	5	mesenchymal cell proliferation	BP
GO:0030326	4.40315490709338e-05	0.999996471331227	6	55	embryonic limb morphogenesis	BP
GO:0021978	4.71360922385955e-05	0.999999474884147	3	7	telencephalon regionalization	BP
GO:0048646	4.82082944905846e-05	0.999998433941477	4	19	anatomical structure formation involved in morphogenesis	BP
GO:0030539	4.95726300207743e-05	0.99999839342038	4	18	male genitalia development	BP
GO:0042487	5.12097046347171e-05	0.999999413218552	3	7	regulation of odontogenesis of dentin-containing tooth	BP
GO:0042475	6.17963692650791e-05	0.999994697696302	6	61	odontogenesis of dentin-containing tooth	BP
GO:0006694	6.81804993513818e-05	0.999994016962206	6	66	steroid biosynthetic process	BP
GO:0045843	7.39211200960606e-05	0.99999897524734	3	8	negative regulation of striated muscle tissue development	BP
GO:0008203	7.74413606421482e-05	0.999991089638267	7	95	cholesterol metabolic process	BP
GO:0042127	8.65138840593734e-05	0.999984067978585	10	204	regulation of cell population proliferation	BP
GO:0031099	0.000159704843073817	1	2	2	regeneration	BP
GO:0048670	0.000160775777325725	1	2	2	regulation of collateral sprouting	BP
GO:0008202	0.000230674646342433	0.99996809509431	7	112	steroid metabolic process	BP
GO:0030154	0.000259247236760157	0.999900210634175	23	931	cell differentiation	BP
GO:1990830	0.00026808654927002	0.999961954502394	7	115	cellular response to leukemia inhibitory factor	BP
GO:0035999	0.000313202302576573	0.999991761588156	3	13	tetrahydrofolate interconversion	BP
GO:0060445	0.000330839890702696	0.999991132267251	3	13	branching involved in salivary gland morphogenesis	BP
GO:0048754	0.00037335508035566	0.999977930805586	4	31	branching morphogenesis of an epithelial tube	BP
GO:0008045	0.000380050340112551	0.999977428709174	4	31	motor neuron axon guidance	BP
GO:0048663	0.000432840346572968	0.999973388504984	4	31	neuron fate commitment	BP
GO:0001843	0.000454307352697578	0.999942550476103	6	87	neural tube closure	BP
GO:0003007	0.000490336825655871	0.999952426673023	5	58	heart morphogenesis	BP
GO:0045944	0.000538602559203168	0.999764666402563	27	1226	positive regulation of transcription by RNA polymerase II	BP
GO:0006730	0.000551925161899736	0.999963342318577	4	36	one-carbon metabolic process	BP
GO:0042733	0.000639144276084349	0.999934020938161	5	62	embryonic digit morphogenesis	BP
GO:0021675	0.000648010608048453	0.999977502165827	3	15	nerve development	BP
GO:0001839	0.000666197380997699	0.999995289895654	2	4	neural plate morphogenesis	BP
GO:0030177	0.000723508874460983	0.999948331292874	4	36	positive regulation of Wnt signaling pathway	BP
