category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0006936	4.38590520726863e-11	1	14	52	muscle contraction	BP
GO:0045214	7.40614386713879e-08	0.999999995548061	9	35	sarcomere organization	BP
GO:0001502	2.14277979568698e-07	0.999999989310322	8	22	cartilage condensation	BP
GO:0060048	7.80237834335334e-07	0.999999934743449	9	46	cardiac muscle contraction	BP
GO:0006937	9.24986253627787e-07	0.999999954818728	7	22	regulation of muscle contraction	BP
GO:0003009	1.51631878499028e-06	0.999999916071316	7	27	skeletal muscle contraction	BP
GO:0035865	3.40591153170326e-06	0.999999916599085	5	11	cellular response to potassium ion	BP
GO:0086004	5.5643650908727e-06	0.999999743421977	6	17	regulation of cardiac muscle cell contraction	BP
GO:0014732	8.19327790242118e-06	0.999999889169268	4	7	skeletal muscle atrophy	BP
GO:0002062	9.77536973576776e-06	0.999999054011588	8	42	chondrocyte differentiation	BP
GO:0014883	1.03632898153757e-05	0.999999833295672	4	8	transition between fast and slow fiber	BP
GO:0007268	3.96471077211254e-05	0.999990178373678	15	171	chemical synaptic transmission	BP
GO:0007155	4.14000866586059e-05	0.99998255028678	34	573	cell adhesion	BP
GO:0071773	5.80383717352773e-05	0.999993970353489	7	39	cellular response to BMP stimulus	BP
GO:0055010	0.000101278460239224	0.999993543758528	5	24	ventricular cardiac muscle tissue morphogenesis	BP
GO:0014878	0.000146436143807244	0.999998162000088	3	5	response to electrical stimulus involved in regulation of muscle adaptation	BP
GO:0032972	0.000173748552206124	1	2	2	regulation of muscle filament sliding speed	BP
GO:0031444	0.000173849252652674	1	2	2	slow-twitch skeletal muscle fiber contraction	BP
GO:0097091	0.000180473305818002	0.999993402434039	4	9	synaptic vesicle clustering	BP
GO:0032332	0.000193321174337458	0.999986276129455	5	20	positive regulation of chondrocyte differentiation	BP
GO:0030240	0.000223518480089638	0.999996146259605	3	6	skeletal muscle thin filament assembly	BP
GO:2000741	0.000226567152760187	0.999997746840685	3	4	positive regulation of mesenchymal stem cell differentiation	BP
GO:0042391	0.000227496713594094	0.999949121905827	11	104	regulation of membrane potential	BP
GO:0051592	0.000265652410500827	0.999956751350276	8	66	response to calcium ion	BP
GO:0030049	0.000279667155409459	0.999994246827464	3	7	muscle filament sliding	BP
GO:0071871	0.000379182596138003	1	2	2	response to epinephrine	BP
GO:0051216	0.000382004722084997	0.999925012608976	9	82	cartilage development	BP
GO:0032765	0.00048708257636157	1	2	2	positive regulation of mast cell cytokine production	BP
GO:0055085	0.000491306591143395	0.999773932672383	30	559	transmembrane transport	BP
GO:0019228	0.000495314030796004	0.999940354759183	6	32	neuronal action potential	BP
GO:0010628	0.00052211752044854	0.999777303165815	25	496	positive regulation of gene expression	BP
GO:1902732	0.000635610660503402	0.999982623648532	3	7	positive regulation of chondrocyte proliferation	BP
GO:0034220	0.000644225571176575	0.999801454210105	14	179	monoatomic ion transmembrane transport	BP
GO:0090076	0.0006456527108286	1	2	2	relaxation of skeletal muscle	BP
GO:2000724	0.000700481065152498	1	2	2	positive regulation of cardiac vascular smooth muscle cell differentiation	BP
GO:0001956	0.000795057177641132	0.999973753268897	3	9	positive regulation of neurotransmitter secretion	BP
GO:0043401	0.000854463206530197	0.99994147786038	4	17	steroid hormone mediated signaling pathway	BP
GO:0006811	0.000919937873880908	0.999553339514818	31	618	monoatomic ion transport	BP
