category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0051301	1.29984218185413e-06	0.999999796366366	13	361	cell division	BP
GO:0007049	1.33465180137421e-05	0.999997014588444	15	587	cell cycle	BP
GO:0007275	2.6681030648074e-05	0.999992131388336	20	1040	multicellular organism development	BP
GO:0006355	3.52312073736337e-05	0.999988160875608	24	1414	regulation of DNA-templated transcription	BP
GO:0007059	3.5338072479769e-05	0.99999723244827	6	89	chromosome segregation	BP
GO:0007052	0.000122911718327043	0.999994521540165	4	38	mitotic spindle organization	BP
GO:0033512	0.000146660335296652	0.999999659450857	2	3	L-lysine catabolic process to acetyl-CoA via saccharopine	BP
GO:0007492	0.000147712988044964	0.999993078802842	4	39	endoderm development	BP
GO:0006357	0.000285833437430702	0.999898929825513	20	1229	regulation of transcription by RNA polymerase II	BP
GO:0034080	0.000485949384617232	0.999996612940076	2	5	CENP-A containing chromatin assembly	BP
GO:0034332	0.000519722264571857	0.999982329512377	3	24	adherens junction organization	BP
GO:0060059	0.000694537218221453	0.999993690094447	2	6	embryonic retina morphogenesis in camera-type eye	BP
GO:0051383	0.000725476130636767	0.999993261989655	2	6	kinetochore organization	BP
GO:0007517	0.00073525668691615	0.999946068121599	4	59	muscle organ development	BP
GO:0007043	0.000874869790872272	0.999963905257632	3	28	cell-cell junction assembly	BP
GO:0031016	0.00110261145790891	0.999950442512247	3	30	pancreas development	BP
GO:0048935	0.00111910474643368	0.999985796819585	2	8	peripheral nervous system neuron development	BP
GO:0016339	0.00114772058416565	0.999947567150504	3	31	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	BP
GO:0048663	0.0011887100322349	0.999945026851975	3	31	neuron fate commitment	BP
GO:0048743	0.00125926458066734	0.999983031479043	2	8	positive regulation of skeletal muscle fiber development	BP
GO:0098742	0.00140891772480127	0.999930570714665	3	33	cell-cell adhesion via plasma-membrane adhesion molecules	BP
GO:2000272	0.00142237825754233	0.999929817755683	3	32	negative regulation of signaling receptor activity	BP
GO:0007399	0.00193046198691051	0.999512302591194	9	412	nervous system development	BP
GO:0007080	0.00195493735912449	0.999891370908427	3	36	mitotic metaphase chromosome alignment	BP
GO:0051382	0.00295634731725904	0.999933275666293	2	12	kinetochore assembly	BP
GO:0001952	0.0031620888533279	0.999925273510354	2	13	regulation of cell-matrix adhesion	BP
GO:0000902	0.00352183472975316	0.999597820910399	4	92	cell morphogenesis	BP
GO:0006334	0.00473033232854513	0.999412544481256	4	97	nucleosome assembly	BP
GO:0001706	0.00484807683549629	0.999854747948489	2	15	endoderm formation	BP
GO:0036060	0.00548622776692968	1	1	1	slit diaphragm assembly	BP
GO:0042308	0.0059674530541918	0.999798328637676	2	17	negative regulation of protein import into nucleus	BP
GO:0034434	0.00617794312662698	1	1	1	NA	NA
GO:2000446	0.00645353080908886	1	1	1	regulation of macrophage migration inhibitory factor signaling pathway	BP
GO:0032799	0.00679723577247339	1	1	1	low-density lipoprotein receptor particle metabolic process	BP
GO:0032802	0.00679723577247339	1	1	1	low-density lipoprotein particle receptor catabolic process	BP
GO:1905596	0.00679723577247339	1	1	1	negative regulation of low-density lipoprotein particle receptor binding	BP
GO:1905598	0.00679723577247339	1	1	1	negative regulation of low-density lipoprotein receptor activity	BP
GO:1905601	0.00679723577247339	1	1	1	negative regulation of receptor-mediated endocytosis involved in cholesterol transport	BP
GO:0051878	0.00683073109182011	1	1	1	lateral element assembly	BP
GO:0095500	0.0068309798974644	0.999751093107536	2	18	acetylcholine receptor signaling pathway	BP
GO:0002194	0.00688579829138085	1	1	1	hepatocyte cell migration	BP
