seqnames	start	end	width	strand	name	score	signalValue	pValue	qValue	relSummit	TSS_intersect	VistaLimb_intersect	H3K27Ac_intersect	category
chr1	4572059	4572059	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_3	302	9.56054	33.7968	30.236	365	FALSE	FALSE	TRUE	H3K27Ac
chr1	5467801	5467801	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_8	475	14.2518	51.43	47.5795	200	FALSE	FALSE	FALSE	
chr1	7201838	7201838	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_11	262	9.82886	29.7275	26.2495	201	FALSE	FALSE	FALSE	
chr1	7311125	7311125	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_12	137	6.77533	16.9097	13.7616	243	FALSE	FALSE	FALSE	
chr1	7398126	7398126	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_13	70	4.91443	9.90942	7.03251	235	TRUE	FALSE	TRUE	TSS&H3K27Ac
chr1	8626398	8626398	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_15	921	20.9148	96.4605	92.1021	211	FALSE	FALSE	FALSE	
chr1	9780498	9780498	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_18	94	5.6516	12.4835	9.49021	122	FALSE	FALSE	FALSE	
chr1	9800142	9800142	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_19a	36	3.26669	6.30177	3.65931	89	FALSE	FALSE	TRUE	H3K27Ac
chr1	9800504	9800504	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_19b	289	8.42053	32.4455	28.9117	451	FALSE	FALSE	TRUE	H3K27Ac
chr1	10039921	10039921	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_23	56	4.37142	8.49268	5.69677	206	TRUE	FALSE	TRUE	TSS&H3K27Ac
chr1	10603633	10603633	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_25	260	9.7177	29.4857	26.0139	176	FALSE	FALSE	FALSE	
chr1	10623490	10623490	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_26a	209	8.60025	24.2607	20.907	195	FALSE	FALSE	FALSE	
chr1	10623779	10623779	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_26b	40	3.93154	6.77496	4.08748	484	FALSE	FALSE	FALSE	
chr1	10700360	10700360	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_27	62	4.66871	9.09184	6.25789	244	FALSE	FALSE	FALSE	
chr1	11027120	11027120	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_34	103	5.89732	13.3791	10.3504	141	FALSE	FALSE	TRUE	H3K27Ac
chr1	11539813	11539813	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_39	130	6.63448	16.1685	13.0408	94	FALSE	FALSE	FALSE	
chr1	11745052	11745052	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_40	464	13.1101	50.2388	46.4055	283	FALSE	FALSE	FALSE	
chr1	12052105	12052105	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_41	378	11.4571	41.526	37.8282	152	FALSE	FALSE	TRUE	H3K27Ac
chr1	12398414	12398414	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_42	291	10.1042	32.7195	29.1802	124	FALSE	FALSE	TRUE	H3K27Ac
chr1	12436421	12436421	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_43	91	5.47825	12.1263	9.15309	160	FALSE	FALSE	FALSE	
chr1	12457053	12457053	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_44	219	8.84597	25.331	21.9517	161	FALSE	FALSE	FALSE	
chr1	12510575	12510575	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_45	562	13.399	60.2379	56.2718	442	FALSE	FALSE	TRUE	H3K27Ac
chr1	12814946	12814946	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_50	546	11.6453	58.55	54.6052	404	FALSE	FALSE	FALSE	
chr1	13245831	13245831	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_54	423	11.7323	46.1558	42.3833	172	FALSE	FALSE	FALSE	
chr1	13322204	13322204	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_56	94	5.6516	12.4835	9.49021	229	FALSE	FALSE	TRUE	H3K27Ac
chr1	13603116	13603116	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_60	150	6.95486	18.2051	15.0145	147	FALSE	FALSE	FALSE	
chr1	13835182	13835182	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_62	308	10.3294	34.4484	30.8752	252	FALSE	FALSE	FALSE	
chr1	13861465	13861465	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_64	286	8.71754	32.1775	28.649	252	FALSE	FALSE	TRUE	H3K27Ac
chr1	13912331	13912331	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_66	175	7.69729	20.7697	17.5081	222	FALSE	FALSE	FALSE	
chr1	13936093	13936093	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_68	171	6.92586	20.4488	17.1954	196	FALSE	FALSE	FALSE	
chr1	14146177	14146177	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_72	2421	24.6597	247.486	242.181	254	FALSE	FALSE	FALSE	
chr1	14185085	14185085	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_73a	402	10.0078	43.9555	40.2174	295	FALSE	FALSE	TRUE	H3K27Ac
chr1	14307340	14307340	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_77	359	8.45498	39.5882	35.9238	270	FALSE	FALSE	TRUE	H3K27Ac
chr1	14357857	14357857	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_80	311	9.24924	34.7292	31.1507	143	FALSE	FALSE	TRUE	H3K27Ac
chr1	14488109	14488109	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_81b	178	6.81181	21.0865	17.8172	526	FALSE	FALSE	FALSE	
chr1	14511973	14511973	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_83	88	4.98762	11.7758	8.81415	233	FALSE	FALSE	FALSE	
chr1	14567249	14567249	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_86	820	14.6752	86.2956	82.0339	261	FALSE	FALSE	FALSE	
chr1	14635871	14635871	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_89	68	4.65543	9.70456	6.84728	231	FALSE	FALSE	FALSE	
chr1	14662021	14662021	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_90	176	7.77416	20.9346	17.6688	184	FALSE	FALSE	FALSE	
chr1	14842535	14842535	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_95a	224	7.51811	25.8041	22.4142	376	FALSE	FALSE	FALSE	
chr1	14842653	14842653	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_95b	219	7.35942	25.3745	21.9942	494	FALSE	FALSE	FALSE	
chr1	15034255	15034255	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_96	103	5.89732	13.3791	10.3504	203	FALSE	FALSE	FALSE	
chr1	15358314	15358314	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_97	802	15.8075	84.4702	80.227	263	FALSE	FALSE	FALSE	
chr1	15614546	15614546	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_99	71	4.81335	10.0365	7.15496	314	FALSE	FALSE	FALSE	
chr1	15926253	15926253	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_102	773	19.0827	81.6047	77.391	204	FALSE	FALSE	FALSE	
chr1	16127368	16127368	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_106a	183	7.42089	21.6267	18.3413	169	FALSE	FALSE	FALSE	
chr1	16229804	16229804	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_109	263	8.24117	29.8086	26.3287	169	FALSE	FALSE	TRUE	H3K27Ac
chr1	16249133	16249133	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_111a	472	10.1395	51.0749	47.2299	253	FALSE	FALSE	TRUE	H3K27Ac
chr1	16249317	16249317	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_111b	626	12.0714	66.6872	62.6411	437	FALSE	FALSE	TRUE	H3K27Ac
chr1	16292364	16292364	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_113a	160	6.64153	19.301	16.0789	136	FALSE	FALSE	FALSE	
chr1	16292630	16292630	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_113b	56	4.09554	8.48215	5.68669	402	FALSE	FALSE	FALSE	
chr1	16302314	16302314	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_115	139	6.8802	17.1304	13.972	171	FALSE	FALSE	FALSE	
chr1	16796860	16796860	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_121	86	5.40587	11.6062	8.64997	231	FALSE	FALSE	FALSE	
chr1	16824331	16824331	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_122	139	6.8802	17.1304	13.972	154	FALSE	FALSE	FALSE	
chr1	18191535	18191535	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_129	111	5.9148	14.218	11.1636	464	FALSE	FALSE	FALSE	
chr1	18223720	18223720	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_131	40	3.93154	6.77496	4.08748	163	TRUE	FALSE	FALSE	TSS
chr1	18512975	18512975	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_134	565	15.2706	60.5088	56.5399	222	FALSE	FALSE	FALSE	
chr1	18599061	18599061	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_135	139	6.8802	17.1304	13.972	100	FALSE	FALSE	FALSE	
chr1	19205813	19205813	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_137	86	5.38779	11.5694	8.62288	101	FALSE	FALSE	FALSE	
chr1	19337480	19337480	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_142	112	6.14304	14.2923	11.2294	157	FALSE	FALSE	FALSE	
chr1	19459315	19459315	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_144	86	5.38779	11.5694	8.62288	315	FALSE	FALSE	FALSE	
chr1	19981526	19981526	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_147a	62	4.66871	9.09184	6.25789	156	FALSE	FALSE	FALSE	
chr1	19981745	19981745	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_147b	130	6.63448	16.1685	13.0408	375	FALSE	FALSE	FALSE	
chr1	20135297	20135297	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_148	70	4.31399	9.8651	7.0015	209	FALSE	FALSE	FALSE	
chr1	20139566	20139566	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_149	91	4.86042	12.1593	9.18508	314	FALSE	FALSE	FALSE	
chr1	20333043	20333043	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_151	34	3.68582	6.05215	3.42121	79	FALSE	FALSE	FALSE	
chr1	20355855	20355855	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_152	230	9.0917	26.4131	23.0086	142	TRUE	FALSE	FALSE	TSS
chr1	20466497	20466497	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_153	78	5.16015	10.7478	7.83055	157	FALSE	FALSE	FALSE	
chr1	21521640	21521640	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_158	207	8.52001	24.0882	20.7403	145	FALSE	FALSE	FALSE	
chr1	21528253	21528253	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_159	78	5.16015	10.7478	7.83055	132	FALSE	FALSE	FALSE	
chr1	22249153	22249153	1	*	b-Catenin_FL_E10.5+DMSO+6h_macs_peak_165	146	6.79934	17.8641	14.6864	240	FALSE	FALSE	TRUE	H3K27Ac
