seqnames	start	end	width	strand	name	FL_E10.5_intersect	FL_E10.5_intersect_noBlacklist
chr15	13391895	13395636	3742	*	element13	FALSE	FALSE
chr4	57542380	57546353	3974	*	element27	TRUE	TRUE
chr2	4339659	4341457	1799	*	element28	TRUE	TRUE
chr9	61600845	61603666	2822	*	element29	TRUE	TRUE
chr13	111952901	111955571	2671	*	element45	TRUE	TRUE
chr7	142568913	142573912	5000	*	element47	TRUE	TRUE
chr6	52442618	52444529	1912	*	element48	TRUE	TRUE
chr7	142551567	142554813	3247	*	element50	FALSE	FALSE
chr11	26489089	26491733	2645	*	element57	TRUE	TRUE
chr15	83638829	83640718	1890	*	element84	TRUE	TRUE
chr10	45228614	45231786	3173	*	element87	TRUE	TRUE
chr6	122392606	122396323	3718	*	element94	FALSE	FALSE
chr10	14463665	14464562	898	*	element116	TRUE	TRUE
chr6	72215187	72218828	3642	*	element123	TRUE	TRUE
chr8	125217044	125219851	2808	*	element149	TRUE	TRUE
chr16	18554169	18557637	3469	*	element321	TRUE	TRUE
chr5	113151953	113154228	2276	*	element329	FALSE	FALSE
chr14	45943841	45945127	1287	*	element384	TRUE	TRUE
chr5	92997268	92998294	1027	*	element397	TRUE	TRUE
chr6	4483464	4485322	1859	*	element398	TRUE	TRUE
chr6	4553538	4555066	1529	*	element400	FALSE	FALSE
chr6	50983968	50984810	843	*	element406	TRUE	TRUE
chr6	51051773	51053273	1501	*	element407	TRUE	TRUE
chr14	22113216	22115951	2736	*	element414	TRUE	TRUE
chr2	4556145	4557875	1731	*	element422	FALSE	FALSE
chr2	4587586	4588762	1177	*	element423	TRUE	TRUE
chr5	37825670	37829220	3551	*	element426	TRUE	TRUE
chr5	37917743	37918594	852	*	element428	TRUE	TRUE
chr5	37967624	37969196	1573	*	element429	TRUE	TRUE
chr19	58371923	58373062	1140	*	element445	TRUE	TRUE
chr19	59423215	59425570	2356	*	element448	TRUE	TRUE
chr19	60015443	60016837	1395	*	element449	TRUE	TRUE
chr6	143437340	143439026	1687	*	element451	TRUE	TRUE
chr15	63193938	63194788	851	*	element458	TRUE	TRUE
chr16	15084593	15085708	1116	*	element466	TRUE	TRUE
chr16	15294471	15296046	1576	*	element467	FALSE	FALSE
chr2	75422203	75424576	2374	*	element515	TRUE	TRUE
chr9	37053340	37055278	1939	*	element577	TRUE	TRUE
chr6	121087143	121088146	1004	*	element580	FALSE	FALSE
chr8	25439933	25441457	1525	*	element595	FALSE	FALSE
chr8	25342690	25344335	1646	*	element610	TRUE	TRUE
chr8	25543012	25545762	2751	*	element612	TRUE	TRUE
chr11	111563101	111564002	902	*	element627	TRUE	TRUE
chr11	112411866	112413667	1802	*	element634	TRUE	TRUE
chr11	113013634	113014961	1328	*	element636	TRUE	TRUE
chr15	60852997	60854287	1291	*	element642	FALSE	FALSE
chr1	192798094	192800700	2607	*	element646	TRUE	TRUE
chr2	57341950	57344456	2507	*	element667	TRUE	TRUE
chr2	137852331	137854841	2511	*	element671	TRUE	TRUE
chr2	166440621	166443127	2507	*	element673	FALSE	FALSE
chr5	99367894	99370406	2513	*	element678	TRUE	TRUE
chr5	102373256	102375763	2508	*	element680	TRUE	TRUE
chr7	108796608	108799113	2506	*	element686	TRUE	TRUE
chr7	124038355	124040863	2509	*	element687	FALSE	FALSE
chr10	36483582	36486087	2506	*	element693	TRUE	TRUE
chr10	87868235	87870738	2504	*	element694	TRUE	TRUE
chr15	35532218	35534804	2587	*	element703	TRUE	TRUE
chr18	68909330	68911841	2512	*	element708	TRUE	TRUE
chr1	162074032	162077560	3529	*	element712	TRUE	TRUE
chr1	162830458	162833967	3510	*	element713	TRUE	TRUE
chr2	33875331	33878839	3509	*	element716	FALSE	FALSE
chr2	59597937	59601449	3513	*	element717	TRUE	TRUE
chr7	83811919	83815428	3510	*	element729	TRUE	TRUE
chr9	41889011	41892513	3503	*	element734	TRUE	TRUE
chr13	60145682	60149199	3518	*	element745	TRUE	TRUE
chr17	47988297	47991797	3501	*	element751	TRUE	TRUE
chr17	29462414	29466116	3703	*	element755	TRUE	TRUE
chr1	166047479	166050879	3401	*	element757	TRUE	TRUE
chr18	60904550	60907221	2672	*	element879	FALSE	FALSE
chr9	88048578	88050948	2371	*	element898	TRUE	TRUE
chr13	118735525	118737413	1889	*	element917	TRUE	TRUE
chr8	25440189	25442103	1915	*	element919	FALSE	FALSE
chr7	130425766	130427321	1556	*	element938	TRUE	TRUE
chr3	51738853	51739856	1004	*	element1010	TRUE	TRUE
chr1	75784369	75787445	3077	*	element1036	TRUE	TRUE
chr1	75800899	75805337	4439	*	element1042	TRUE	TRUE
chr1	75882678	75886487	3810	*	element1046	TRUE	TRUE
chr18	55624017	55627654	3638	*	element1061	TRUE	TRUE
chr1	92789103	92792922	3820	*	element1063	TRUE	TRUE
chr2	169609090	169612595	3506	*	element1064	TRUE	TRUE
chr4	154471429	154474118	2690	*	element1087	FALSE	FALSE
chr4	154771106	154772345	1240	*	element1088	TRUE	TRUE
chr4	154801902	154803150	1249	*	element1090	TRUE	TRUE
chr16	26040839	26042843	2005	*	element1097	TRUE	TRUE
chr11	16558870	16559788	919	*	element1103	TRUE	TRUE
chr17	83913106	83914232	1127	*	element1105	TRUE	TRUE
chr17	84421721	84422938	1218	*	element1109	TRUE	TRUE
chr14	105571301	105573847	2547	*	element1112	TRUE	TRUE
chr5	119610926	119613436	2511	*	element1177	TRUE	TRUE
chr13	15342708	15344222	1515	*	element1179	TRUE	TRUE
chr5	29314882	29315667	786	*	element1189	TRUE	TRUE
chr5	24494494	24496000	1507	*	element1191	FALSE	FALSE
chr8	91712438	91716525	4088	*	element1211	TRUE	TRUE
chr11	17449239	17451378	2140	*	element1290	TRUE	TRUE
chr9	23010879	23012755	1877	*	element1296	TRUE	TRUE
chr13	51220266	51222697	2432	*	element1300	TRUE	TRUE
chr2	101589989	101594341	4353	*	element1328	TRUE	TRUE
chr5	77486941	77489925	2985	*	element1340	TRUE	TRUE
chr14	73233957	73236326	2370	*	element1341	TRUE	TRUE
chr16	37892145	37895218	3074	*	element1361	TRUE	TRUE
chr7	34265156	34269793	4638	*	element1379	FALSE	FALSE
chr3	89290191	89293211	3021	*	element1415	FALSE	FALSE
chr15	102958892	102961092	2201	*	element1417	FALSE	FALSE
chr10	21620702	21623524	2823	*	element1426	FALSE	FALSE
chr18	38378942	38381638	2697	*	element1457	TRUE	TRUE
chr11	113783368	113787793	4426	*	element1462	TRUE	TRUE
chr8	126825534	126828569	3036	*	element1464	TRUE	TRUE
chr11	18712146	18713157	1012	*	element1465	TRUE	TRUE
chr9	72639095	72641466	2372	*	element1473	TRUE	TRUE
chr6	72710180	72712952	2773	*	element1474	TRUE	TRUE
chr9	106354105	106358319	4215	*	element1475	FALSE	FALSE
chr2	128712176	128715819	3644	*	element1476	TRUE	TRUE
chr8	90860972	90863490	2519	*	element1483	TRUE	TRUE
chr7	123096695	123099867	3173	*	element1484	TRUE	TRUE
chr14	24261693	24264509	2817	*	element1485	TRUE	TRUE
chr9	41227903	41230545	2643	*	element1486	TRUE	TRUE
chr4	108361019	108364528	3510	*	element1490	TRUE	TRUE
chr4	154707416	154711162	3747	*	element1492	TRUE	TRUE
chr9	41949141	41954525	5385	*	element1493	TRUE	TRUE
chr7	145204878	145207696	2819	*	element1497	TRUE	TRUE
chr14	40955283	40959325	4043	*	element1503	FALSE	FALSE
chr3	101394802	101399299	4498	*	element1505	TRUE	TRUE
chr4	139597442	139601336	3895	*	element1506	TRUE	TRUE
chr7	82713869	82717092	3224	*	element1514	TRUE	TRUE
chr9	63958316	63961551	3236	*	element1518	TRUE	TRUE
chr4	106864589	106867291	2703	*	element1527	TRUE	TRUE
chr7	93060870	93063626	2757	*	element1534	TRUE	TRUE
chr7	117685708	117687616	1909	*	element1558	FALSE	FALSE
chr2	163188664	163191536	2873	*	element1561	FALSE	FALSE
chr2	60785661	60787563	1903	*	element1564	TRUE	TRUE
chr8	87659117	87661534	2418	*	element1567	FALSE	FALSE
chr14	49121141	49122633	1493	*	element1570	TRUE	TRUE
chr15	95638745	95641449	2705	*	element1571	TRUE	TRUE
chr7	136389301	136391216	1916	*	element1574	TRUE	TRUE
chr5	16778224	16779671	1448	*	element1576	TRUE	TRUE
chr15	74155468	74158454	2987	*	element1584	TRUE	TRUE
chr6	89613040	89615855	2816	*	element1597	FALSE	FALSE
chr8	26832487	26834858	2372	*	element1598	TRUE	TRUE
chr3	37934423	37937092	2670	*	element1599	TRUE	TRUE
chr2	93277889	93280895	3007	*	element1603	TRUE	TRUE
chr13	34147929	34150988	3060	*	element1605	FALSE	FALSE
chr5	125392752	125395599	2848	*	element1607	TRUE	TRUE
chrX	13240832	13243993	3162	*	element1613	TRUE	TRUE
chr18	35847684	35850399	2716	*	element1614	TRUE	TRUE
chr8	84741862	84745040	3179	*	element1615	TRUE	TRUE
chr3	87149553	87152003	2451	*	element1616	FALSE	FALSE
chr9	43252110	43255189	3080	*	element1617	TRUE	TRUE
chr5	142999833	143002122	2290	*	element1619	TRUE	TRUE
chr17	46617886	46620197	2312	*	element1620	TRUE	TRUE
chr11	118238373	118241185	2813	*	element1622	FALSE	FALSE
chr18	60669096	60671807	2712	*	element1623	FALSE	FALSE
chr9	40729778	40732407	2630	*	element1624	TRUE	TRUE
chr5	136861071	136864935	3865	*	element1626	TRUE	TRUE
chr9	118979487	118981788	2302	*	element1627	FALSE	FALSE
chr16	17809212	17811153	1942	*	element1629	TRUE	TRUE
chr15	99419955	99421557	1603	*	element1635	TRUE	TRUE
chr16	96845601	96847968	2368	*	element1636	FALSE	FALSE
chr1	41274477	41276046	1570	*	element1643	TRUE	TRUE
chr2	163362454	163365471	3018	*	element1646	FALSE	FALSE
chr18	35839236	35842928	3693	*	element1664	FALSE	FALSE
chr8	124642913	124645752	2840	*	element1665	FALSE	FALSE
chr8	120423909	120427305	3397	*	element1674	TRUE	TRUE
chr1	172015770	172018782	3013	*	element1677	FALSE	FALSE
chr14	25585163	25588456	3294	*	element1678	FALSE	FALSE
chr8	56831312	56833826	2515	*	element1687	TRUE	TRUE
chr8	56914552	56916754	2203	*	element1688	TRUE	TRUE
chr8	56983041	56984959	1919	*	element1689	TRUE	TRUE
chr17	47520786	47523587	2802	*	element1691	FALSE	FALSE
chr10	67001919	67005347	3429	*	element1692	TRUE	TRUE
chr5	149352160	149354367	2208	*	element1702	TRUE	TRUE
chr6	94647420	94648994	1575	*	element1736	TRUE	TRUE
chr6	143498603	143500656	2054	*	element1750	TRUE	TRUE
chr7	19216980	19219018	2039	*	element1753	TRUE	TRUE
chr9	55448926	55451061	2136	*	element1754	FALSE	FALSE
chr3	66572738	66575972	3235	*	element1837	FALSE	FALSE
chr3	66535472	66538432	2961	*	element1845	TRUE	TRUE
chr13	15078995	15084181	5187	*	element1859	FALSE	FALSE
chr13	15342053	15347318	5266	*	element1887	TRUE	TRUE
chr13	15354716	15360113	5398	*	element1889	FALSE	FALSE
chr13	15501068	15505862	4795	*	element1906	FALSE	FALSE
chr13	15548947	15553777	4831	*	element1977	TRUE	TRUE
chr8	72287701	72291415	3715	*	element1988	FALSE	FALSE
chr11	113084312	113086270	1959	*	element1989	FALSE	FALSE
chr6	136917348	136918839	1492	*	element1990	FALSE	FALSE
chr3	113698498	113700076	1579	*	element1991	FALSE	FALSE
chr11	94872212	94874162	1951	*	element1995	FALSE	FALSE
chr13	15469958	15475212	5255	*	element2018	FALSE	FALSE
chr13	15602095	15606909	4815	*	element2022	FALSE	FALSE
chr13	14626495	14631743	5249	*	element2080	FALSE	FALSE
chr9	63912865	63917663	4799	*	element2097	FALSE	FALSE
chr3	66699741	66703287	3547	*	element2107	TRUE	TRUE
chr9	63979541	63984197	4657	*	element2140	TRUE	TRUE
chr9	63832776	63837419	4644	*	element2155	FALSE	FALSE
chr13	15129035	15134653	5619	*	element2164	TRUE	TRUE
chr13	14748412	14753867	5456	*	element2176	FALSE	FALSE
chr9	63957463	63962260	4798	*	element2206	TRUE	TRUE
chr7	66375632	66377562	1931	*	element2282	FALSE	FALSE
